asset_id,asset_type,asset_lat,asset_lon,sf_site_id,sf_lat,sf_lon,distance_m,confidence_tier,review_flag,sf_stage,sf_street
a0ZVF000003VnNI2A0,,38.6217,-77.3192,,,,,NO_MATCH,FALSE,,
a0ZVF000003VnNJ2A0,,38.6605,-77.3628,,,,,NO_MATCH,FALSE,,
a0ZVF000003VnNL2A0,,38.6335,-77.3973,,,,,NO_MATCH,FALSE,,
a0ZVF000003VnNN2A0,,38.665,-77.2692,,,,,NO_MATCH,FALSE,,
a0ZVF000003VnNS2A0,,38.891217,-77.085817,,,,,NO_MATCH,FALSE,,
a0ZVF000003VnNT2A0,,38.890334,-77.086749,,,,,NO_MATCH,FALSE,,
a0ZVF000003VnNU2A0,,38.864188,-77.0592,,,,,NO_MATCH,FALSE,,
a0ZVF000003VnNV2A0,,38.8621,-77.0535,,,,,NO_MATCH,FALSE,,
a0ZVF000003VnNZ2A0,,38.855278,-77.0528,,,,,NO_MATCH,FALSE,,
a0ZVF000003VncN2AS,,29.915833,-100.543722,,,,,NO_MATCH,FALSE,,
a0ZVF000003VncQ2AS,,42.476716,-89.118524,,,,,NO_MATCH,FALSE,,
a0ZVF000003VncR2AS,,42.463819,-89.181428,,,,,NO_MATCH,FALSE,,
a0ZVF000003VncT2AS,,39.101767,-77.1595,,,,,NO_MATCH,FALSE,,
a0ZVF000003VncY2AS,,38.55048,-90.33649,,,,,NO_MATCH,FALSE,,
a0ZVF000003Vnci2AC,,34.17999,-118.7761,,,,,NO_MATCH,FALSE,,
a0ZVF000003Vncq2AC,,43.65396,-93.32722,,,,,NO_MATCH,FALSE,,
a0ZVF000003Vncs2AC,,47.015442,-114.525128,,,,,NO_MATCH,FALSE,,
a0ZVF000003Vncu2AC,,34.258522,-86.187798,,,,,NO_MATCH,FALSE,,
a0ZVF000003Vncx2AC,,34.267516,-86.211661,,,,,NO_MATCH,FALSE,,
a0ZVF000003Vncy2AC,,45.24639,-93.66936,,,,,NO_MATCH,FALSE,,
a0ZVF000003Vnd12AC,,41.026963,-92.809815,,,,,NO_MATCH,FALSE,,
a0ZVF000003Vnd92AC,,38.264099,-77.50419,,,,,NO_MATCH,FALSE,,
a0ZVF000003VndC2AS,,38.212,-77.000167,,,,,NO_MATCH,FALSE,,
a0ZVF000003VndD2AS,,38.2532,-76.9653,,,,,NO_MATCH,FALSE,,
a0ZVF000003VndE2AS,,38.2374,-76.9942,,,,,NO_MATCH,FALSE,,
a0ZVF000003VndF2AS,,38.182883,-77.009161,,,,,NO_MATCH,FALSE,,
a0ZVF000003Vndl2AC,,30.364806,-91.050972,,,,,NO_MATCH,FALSE,,
a0ZVF000003Vnki2AC,,42.361222,-72.798722,,,,,NO_MATCH,FALSE,,
a0ZVF000003Vnkk2AC,,42.162672,-72.608419,,,,,NO_MATCH,FALSE,,
a0ZVF000003Vnkm2AC,,42.17602,-72.57405,,,,,NO_MATCH,FALSE,,
a0ZVF000003Vnks2AC,,42.066511,-72.839702,,,,,NO_MATCH,FALSE,,
a0ZVF000003Vnkt2AC,,42.095214,-73.062264,,,,,NO_MATCH,FALSE,,
a0ZVF000003Vnkv2AC,,42.044167,-73.048333,,,,,NO_MATCH,FALSE,,
a0ZVF000003Vnkx2AC,,42.083611,-72.415,,,,,NO_MATCH,FALSE,,
a0ZVF000003VnlJ2AS,,40.528778,-80.236889,,,,,NO_MATCH,FALSE,,
a0ZVF000003VnlL2AS,,40.45855,-80.18129,,,,,NO_MATCH,FALSE,,
a0ZVF000003VnlN2AS,,37.069999,-94.460889,,,,,NO_MATCH,FALSE,,
a0ZVF000003VnlP2AS,,40.547043,-79.987082,,,,,NO_MATCH,FALSE,,
a0ZVF000003VnlQ2AS,,40.41,-79.9145,,,,,NO_MATCH,FALSE,,
a0ZVF000003VnlR2AS,,40.399944,-79.905119,,,,,NO_MATCH,FALSE,,
a0ZVF000003VnlS2AS,,40.39365,-79.91945,,,,,NO_MATCH,FALSE,,
a0ZVF000003VnlU2AS,,40.384185,-79.866382,,,,,NO_MATCH,FALSE,,
a0ZVF000003VnlX2AS,,40.34163,-79.95186,,,,,NO_MATCH,FALSE,,
a0ZVF000003Vnlb2AC,,39.7614,-75.5661,,,,,NO_MATCH,FALSE,,
a0ZVF000003Vnlc2AC,,39.7419,-75.6256,,,,,NO_MATCH,FALSE,,
a0ZVF000003Vnld2AC,,39.7343,-75.6934,,,,,NO_MATCH,FALSE,,
a0ZVF000003Vnlf2AC,,39.7779,-75.4909,,,,,NO_MATCH,FALSE,,
a0ZVF000003Vnli2AC,,39.73991,-75.69233,,,,,NO_MATCH,FALSE,,
a0ZVF000003Vnlj2AC,,39.18536,-75.53415,,,,,NO_MATCH,FALSE,,
a0ZVF000003Vnll2AC,,39.1932,-75.5466,,,,,NO_MATCH,FALSE,,
a0ZVF000003Vnlm2AC,,39.196799,-75.554927,,,,,NO_MATCH,FALSE,,
a0ZVF000003Vnlp2AC,,28.587667,-81.116528,,,,,NO_MATCH,FALSE,,
a0ZVF000003Vnlq2AC,,28.610981,-81.149806,,,,,NO_MATCH,FALSE,,
a0ZVF000003VoDp2AK,,27.97592,-82.35126,,,,,NO_MATCH,FALSE,,
a0ZVF000003VoDr2AK,,27.94429,-82.3397,,,,,NO_MATCH,FALSE,,
