id,address,label,input_confidence
dc_355,"2900 NEWTON ST NE, WASHINGTON, DC 20018",DC,high
dc_356,"2901 V ST NE, WASHINGTON, DC 20018",DC,high
dc_357,"2907 - 2917 MARTIN LUTHER KING JR AVE SE, WASHINGTON, DC 20032",DC,high
dc_358,"2907 MARTIN LUTHER KING JR AVE SE, WASHINGTON, DC 20032",DC,high
dc_359,"2916 12TH ST NE, WASHINGTON, DC 20017",DC,high
dc_360,"2939 VAN NESS ST NW, WASHINGTON, DC 20008",DC,high
dc_361,"3 B DC VILLAGE LN SW, WASHINGTON, DC 20032",DC,high
dc_362,"3 WASHINGTON CIR NW P1, WASHINGTON, DC 20037",DC,high
dc_363,"30 E ST SW, WASHINGTON, DC 20024",DC,high
dc_364,"300 1ST ST SE, WASHINGTON, DC 20003",DC,high
dc_365,"300 7TH ST SW, WASHINGTON, DC 20024",DC,high
dc_366,"300 HAMILTON ST NE, WASHINGTON, DC 20011",DC,high
dc_367,"300 M ST SE, WASHINGTON, DC 20003",DC,high
dc_368,"300 MCMILLAN DR NW, WASHINGTON, DC 20001",DC,high
dc_369,"3000 CATHEDRAL AVE NW, WASHINGTON, DC 20008",DC,high
dc_370,"3000 K ST NW, WASHINGTON, DC 20007",DC,high
dc_371,"3000 PENNSYLVANIA AVE SE, WASHINGTON, DC 20020",DC,high
dc_372,"3003 VAN NESS ST NW, WASHINGTON, DC 20008",DC,high
dc_373,"3009 25TH ST NE, WASHINGTON, DC 20018",DC,high
dc_374,"301 BRYANT ST NW, WASHINGTON, DC 20001",DC,high
dc_375,"301 CEDAR ST NW, WASHINGTON, DC",DC,medium
dc_376,"3019 DENT PL NW, WASHINGTON, DC 20007",DC,high
dc_377,"3020 DENT PL NW 10W, WASHINGTON, DC 20007",DC,high
dc_378,"3023 14TH ST NW, WASHINGTON, DC 20009",DC,high
dc_379,"3029 MARTIN LUTHER KING JR AVE SE, WASHINGTON, DC 20032",DC,high
dc_380,"3050 K ST NW, WASHINGTON, DC 20007",DC,high
dc_381,"3060 16TH ST NW 00010, WASHINGTON, DC 20009",DC,high
dc_382,"31 Q ST NW, WASHINGTON, DC 20001",DC,high
dc_383,"310 MCMILLAN DR NW, WASHINGTON, DC 20001",DC,high
dc_384,"3101 RHODE ISLAND AVE NE, WASHINGTON, DC 20018",DC,high
dc_385,"3101 WISCONSIN AVE NW, WASHINGTON, DC 20016",DC,high
dc_386,"3103 RHODE ISLAND AVE NE, WASHINGTON, DC 20018",DC,high
dc_387,"3106 N ST NW, WASHINGTON, DC 20007",DC,high
dc_388,"3109 MARTIN LUTHER KING JR AVE SE, WASHINGTON, DC 20032",DC,high
dc_389,"315 U ST NW, WASHINGTON, DC 20001",DC,high
dc_390,"3200 BLADENSBURG RD NE, WASHINGTON, DC 20018",DC,high
dc_391,"3200 PENNSYLVANIA AVE SE, WASHINGTON, DC 20020",DC,high
dc_392,"3201 PENNSYLVANIA AVE SE, WASHINGTON, DC 20020",DC,high
dc_393,"3202 PENNSYLVANIA AVE SE, WASHINGTON, DC",DC,medium
dc_394,"3204 PENNSYLVANIA AVE SE, WASHINGTON, DC 20020",DC,high
dc_395,"321 FLORIDA AVE NW, WASHINGTON, DC 20001",DC,high
dc_396,"3218 PENNSYLVANIA AVE SE, WASHINGTON, DC 20020",DC,high
dc_397,"3220 CONNECTICUT AVE NW, WASHINGTON, DC",DC,medium
dc_398,"3222 M ST NW, WASHINGTON, DC 20007",DC,high
